history_id,customer_id,old_plan_id,new_plan_id,change_date,change_reason
PH0002782,C0002697,PL016,PL002,10-10-2024,Customer Request
PH0002783,C0002697,PL002,PL022,28-12-2024,Offer Migration
PH0002784,C0002697,PL022,PL001,12-05-2025,Customer Request
PH0002785,C0002698,PL001,PL007,22-02-2025,Customer Request
PH0002786,C0002699,PL001,PL013,22-10-2021,Downgrade
PH0002787,C0002699,PL013,PL023,15-04-2021,Offer Migration
PH0002788,C0002699,PL023,PL020,19-11-2020,Customer Request
PH0002789,C0002704,PL001,PL020,01-09-2018,Customer Request
PH0002790,C0002704,PL020,PL005,15-01-2024,Customer Request
PH0002791,C0002704,PL005,PL020,27-07-2021,Upgrade
PH0002792,C0002705,PL009,PL010,08-07-2016,Upgrade
PH0002793,C0002708,PL010,PL008,06-09-2021,Upgrade
PH0002794,C0002708,PL008,PL018,10-02-2022,Downgrade
PH0002795,C0002709,PL002,PL004,14-01-2016,Offer Migration
PH0002796,C0002709,PL004,PL025,13-02-2017,Upgrade
PH0002797,C0002709,PL025,PL021,30-05-2017,Downgrade
PH0002798,C0002711,PL010,PL018,26-08-2020,Upgrade
PH0002799,C0002711,PL018,PL012,28-05-2021,Offer Migration
PH0002800,C0002711,PL012,PL016,05-12-2023,Offer Migration
PH0002801,C0002715,PL004,PL007,30-01-2022,Downgrade
PH0002802,C0002715,PL007,PL005,13-08-2020,Customer Request
PH0002803,C0002719,PL005,PL015,14-02-2019,Upgrade
PH0002804,C0002721,PL025,PL009,22-10-2023,Customer Request
PH0002805,C0002721,PL009,PL008,26-10-2023,Customer Request
PH0002806,C0002723,PL010,PL017,26-09-2017,Customer Request
PH0002807,C0002724,PL011,PL016,29-08-2025,Customer Request
PH0002808,C0002724,PL016,PL025,30-07-2025,Downgrade
PH0002809,C0002724,PL025,PL011,05-09-2025,Downgrade
PH0002810,C0002725,PL005,PL019,08-10-2025,Upgrade
PH0002811,C0002725,PL019,PL016,09-08-2025,Upgrade
PH0002812,C0002725,PL016,PL005,01-04-2025,Offer Migration
PH0002813,C0002727,PL017,PL019,11-08-2022,Offer Migration
PH0002814,C0002727,PL019,PL001,24-10-2021,Offer Migration
PH0002815,C0002727,PL001,PL015,16-07-2020,Offer Migration
PH0002816,C0002728,PL020,PL011,06-09-2016,Upgrade
PH0002817,C0002728,PL011,PL015,28-09-2018,Offer Migration
PH0002818,C0002728,PL015,PL006,20-05-2017,Offer Migration
PH0002819,C0002731,PL002,PL016,15-11-2023,Downgrade
PH0002820,C0002731,PL016,PL015,05-12-2019,Offer Migration
PH0002821,C0002731,PL015,PL010,15-07-2021,Offer Migration
PH0002822,C0002733,PL025,PL001,05-09-2020,Customer Request
PH0002823,C0002733,PL001,PL023,04-08-2022,Customer Request
PH0002824,C0002733,PL023,PL016,24-02-2019,Downgrade
PH0002825,C0002734,PL016,PL015,06-09-2023,Upgrade
PH0002826,C0002734,PL015,PL017,20-12-2017,Offer Migration
PH0002827,C0002736,PL005,PL015,30-04-2025,Customer Request
PH0002828,C0002736,PL015,PL003,05-05-2025,Downgrade
PH0002829,C0002737,PL006,PL014,27-02-2023,Offer Migration
PH0002830,C0002737,PL014,PL004,03-09-2016,Customer Request
PH0002831,C0002739,PL016,PL010,02-12-2015,Offer Migration
PH0002832,C0002741,PL013,PL007,04-12-2019,Upgrade
PH0002833,C0002743,PL001,PL023,22-07-2019,Upgrade
PH0002834,C0002743,PL023,PL024,17-09-2018,Offer Migration
PH0002835,C0002743,PL024,PL016,25-01-2018,Downgrade
PH0002836,C0002744,PL012,PL011,14-06-2024,Customer Request
PH0002837,C0002744,PL011,PL015,17-05-2024,Downgrade
PH0002838,C0002749,PL015,PL004,02-06-2024,Upgrade
PH0002839,C0002751,PL002,PL020,12-06-2025,Offer Migration
PH0002840,C0002751,PL020,PL020,03-08-2025,Downgrade
PH0002841,C0002751,PL020,PL003,30-11-2025,Offer Migration
PH0002842,C0002753,PL011,PL020,02-12-2025,Customer Request
PH0002843,C0002753,PL020,PL001,08-10-2025,Customer Request
PH0002844,C0002753,PL001,PL007,22-10-2025,Downgrade
PH0002845,C0002754,PL003,PL024,26-05-2019,Downgrade
PH0002846,C0002754,PL024,PL009,24-10-2020,Downgrade
PH0002847,C0002754,PL009,PL008,10-04-2024,Customer Request
PH0002848,C0002757,PL018,PL015,02-01-2022,Upgrade
PH0002849,C0002757,PL015,PL017,17-08-2017,Offer Migration
PH0002850,C0002759,PL016,PL008,25-11-2018,Customer Request
PH0002851,C0002761,PL005,PL010,13-05-2019,Offer Migration
PH0002852,C0002763,PL023,PL019,30-12-2023,Customer Request
PH0002853,C0002763,PL019,PL016,21-09-2022,Upgrade
PH0002854,C0002764,PL023,PL002,06-08-2023,Downgrade
PH0002855,C0002764,PL002,PL013,31-07-2022,Offer Migration
PH0002856,C0002764,PL013,PL003,18-11-2023,Customer Request
PH0002857,C0002765,PL008,PL008,27-01-2023,Customer Request
PH0002858,C0002765,PL008,PL009,05-08-2021,Downgrade
PH0002859,C0002767,PL005,PL002,17-12-2025,Downgrade
PH0002860,C0002771,PL001,PL025,31-03-2020,Downgrade
PH0002861,C0002771,PL025,PL017,12-09-2022,Customer Request
PH0002862,C0002774,PL005,PL001,18-09-2022,Upgrade
PH0002863,C0002775,PL006,PL025,01-10-2021,Offer Migration
PH0002864,C0002775,PL025,PL022,04-02-2023,Customer Request
PH0002865,C0002775,PL022,PL020,14-03-2017,Upgrade
PH0002866,C0002777,PL004,PL004,21-06-2022,Offer Migration
PH0002867,C0002777,PL004,PL005,09-07-2017,Upgrade
PH0002868,C0002778,PL020,PL019,16-01-2021,Upgrade
PH0002869,C0002779,PL010,PL004,09-06-2021,Customer Request
PH0002870,C0002779,PL004,PL013,13-03-2024,Downgrade
PH0002871,C0002782,PL004,PL022,19-01-2019,Offer Migration
PH0002872,C0002782,PL022,PL005,04-02-2023,Customer Request
PH0002873,C0002786,PL014,PL001,25-12-2023,Upgrade
PH0002874,C0002786,PL001,PL001,11-11-2023,Offer Migration
PH0002875,C0002788,PL015,PL004,29-08-2024,Offer Migration
PH0002876,C0002790,PL018,PL011,30-03-2023,Downgrade
PH0002877,C0002790,PL011,PL011,27-02-2024,Offer Migration
PH0002878,C0002793,PL014,PL009,06-02-2021,Downgrade
PH0002879,C0002793,PL009,PL011,28-02-2021,Downgrade
PH0002880,C0002793,PL011,PL008,11-10-2022,Offer Migration
PH0002881,C0002794,PL001,PL005,14-11-2016,Upgrade
PH0002882,C0002795,PL003,PL021,31-03-2016,Downgrade
PH0002883,C0002795,PL021,PL004,06-05-2021,Downgrade
PH0002884,C0002795,PL004,PL025,08-11-2014,Customer Request
PH0002885,C0002796,PL014,PL022,21-05-2024,Upgrade
PH0002886,C0002799,PL011,PL021,06-01-2021,Downgrade
PH0002887,C0002799,PL021,PL014,19-11-2020,Downgrade
PH0002888,C0002801,PL002,PL005,25-03-2025,Downgrade
PH0002889,C0002801,PL005,PL021,26-08-2025,Downgrade
PH0002890,C0002801,PL021,PL019,30-08-2025,Offer Migration
PH0002891,C0002802,PL016,PL021,05-01-2019,Customer Request
PH0002892,C0002802,PL021,PL011,31-08-2019,Customer Request
PH0002893,C0002804,PL001,PL007,17-12-2023,Customer Request
PH0002894,C0002805,PL003,PL020,09-07-2020,Offer Migration
PH0002895,C0002805,PL020,PL009,06-10-2023,Customer Request
PH0002896,C0002807,PL005,PL005,28-07-2024,Downgrade
PH0002897,C0002807,PL005,PL005,13-07-2024,Customer Request
PH0002898,C0002808,PL002,PL015,24-12-2021,Customer Request
PH0002899,C0002809,PL022,PL010,11-02-2023,Offer Migration
PH0002900,C0002810,PL002,PL017,04-02-2020,Upgrade
PH0002901,C0002812,PL012,PL011,26-02-2024,Offer Migration
PH0002902,C0002817,PL011,PL012,07-02-2021,Downgrade
PH0002903,C0002818,PL012,PL011,31-05-2021,Customer Request
PH0002904,C0002818,PL011,PL021,02-08-2019,Offer Migration
PH0002905,C0002818,PL021,PL011,14-04-2021,Downgrade
PH0002906,C0002822,PL001,PL023,08-10-2024,Customer Request
PH0002907,C0002822,PL023,PL020,27-10-2025,Downgrade
PH0002908,C0002822,PL020,PL018,02-02-2025,Downgrade
PH0002909,C0002823,PL020,PL012,02-05-2017,Downgrade
PH0002910,C0002823,PL012,PL002,21-08-2016,Upgrade
PH0002911,C0002823,PL002,PL005,29-06-2018,Customer Request
PH0002912,C0002825,PL004,PL001,11-03-2018,Downgrade
PH0002913,C0002825,PL001,PL017,17-06-2021,Offer Migration
PH0002914,C0002825,PL017,PL015,29-04-2019,Offer Migration
PH0002915,C0002827,PL023,PL012,06-03-2025,Upgrade
PH0002916,C0002831,PL001,PL015,03-07-2021,Downgrade
PH0002917,C0002832,PL016,PL001,20-11-2023,Offer Migration
PH0002918,C0002832,PL001,PL020,06-11-2015,Downgrade
PH0002919,C0002832,PL020,PL011,22-07-2022,Downgrade
PH0002920,C0002833,PL007,PL016,23-08-2025,Downgrade
PH0002921,C0002833,PL016,PL011,11-07-2025,Customer Request
PH0002922,C0002835,PL014,PL010,05-09-2020,Offer Migration
PH0002923,C0002838,PL023,PL007,17-08-2020,Downgrade
PH0002924,C0002839,PL007,PL007,25-04-2017,Downgrade
PH0002925,C0002843,PL013,PL019,11-02-2022,Downgrade
PH0002926,C0002843,PL019,PL013,05-02-2023,Upgrade
PH0002927,C0002843,PL013,PL019,13-11-2023,Downgrade
PH0002928,C0002844,PL008,PL003,20-11-2023,Upgrade
PH0002929,C0002848,PL002,PL025,03-03-2022,Customer Request
PH0002930,C0002848,PL025,PL004,30-03-2023,Downgrade
PH0002931,C0002848,PL004,PL025,11-06-2022,Upgrade
PH0002932,C0002849,PL007,PL020,21-02-2025,Customer Request
PH0002933,C0002849,PL020,PL008,13-09-2024,Upgrade
PH0002934,C0002849,PL008,PL003,15-04-2024,Downgrade
PH0002935,C0002850,PL016,PL019,07-12-2023,Downgrade
PH0002936,C0002851,PL008,PL006,10-08-2024,Offer Migration
PH0002937,C0002851,PL006,PL008,30-07-2023,Downgrade
PH0002938,C0002851,PL008,PL020,17-09-2023,Downgrade
PH0002939,C0002852,PL019,PL011,28-07-2024,Upgrade
PH0002940,C0002852,PL011,PL011,21-06-2024,Customer Request
PH0002941,C0002854,PL001,PL014,01-06-2023,Offer Migration
PH0002942,C0002857,PL005,PL022,01-05-2014,Customer Request
PH0002943,C0002857,PL022,PL010,10-07-2020,Offer Migration
PH0002944,C0002857,PL010,PL010,03-11-2021,Offer Migration
PH0002945,C0002858,PL004,PL010,28-12-2023,Upgrade
PH0002946,C0002858,PL010,PL011,14-06-2024,Upgrade
PH0002947,C0002859,PL017,PL012,22-03-2021,Downgrade
PH0002948,C0002859,PL012,PL005,13-01-2024,Upgrade
PH0002949,C0002860,PL008,PL003,17-07-2023,Downgrade
PH0002950,C0002861,PL003,PL001,07-06-2018,Customer Request
PH0002951,C0002861,PL001,PL019,18-04-2023,Upgrade
PH0002952,C0002862,PL011,PL024,25-05-2021,Offer Migration
PH0002953,C0002862,PL024,PL001,24-12-2020,Customer Request
PH0002954,C0002865,PL005,PL007,09-01-2022,Offer Migration
PH0002955,C0002865,PL007,PL001,22-12-2022,Downgrade
PH0002956,C0002870,PL003,PL021,01-04-2020,Upgrade
PH0002957,C0002870,PL021,PL014,21-11-2018,Upgrade
PH0002958,C0002870,PL014,PL001,07-08-2023,Downgrade
PH0002959,C0002875,PL005,PL003,12-08-2014,Offer Migration
PH0002960,C0002876,PL006,PL024,20-01-2015,Customer Request
PH0002961,C0002878,PL015,PL018,11-12-2023,Downgrade
PH0002962,C0002878,PL018,PL019,18-03-2018,Offer Migration
PH0002963,C0002878,PL019,PL016,28-06-2015,Upgrade
PH0002964,C0002880,PL001,PL019,02-10-2025,Downgrade
PH0002965,C0002880,PL019,PL009,31-07-2025,Downgrade
PH0002966,C0002881,PL001,PL009,18-12-2016,Offer Migration
PH0002967,C0002881,PL009,PL023,10-11-2016,Customer Request
PH0002968,C0002881,PL023,PL020,18-01-2016,Customer Request
PH0002969,C0002882,PL019,PL022,27-07-2015,Customer Request
PH0002970,C0002883,PL008,PL024,09-09-2018,Customer Request
PH0002971,C0002885,PL025,PL016,04-11-2017,Offer Migration
PH0002972,C0002886,PL002,PL011,02-09-2018,Downgrade
PH0002973,C0002886,PL011,PL004,15-07-2022,Customer Request
PH0002974,C0002888,PL008,PL004,06-05-2022,Customer Request
PH0002975,C0002888,PL004,PL004,09-12-2019,Upgrade
PH0002976,C0002888,PL004,PL021,30-08-2019,Downgrade
PH0002977,C0002889,PL012,PL022,01-12-2021,Offer Migration
PH0002978,C0002889,PL022,PL022,25-11-2024,Customer Request
PH0002979,C0002890,PL002,PL014,13-03-2025,Downgrade
PH0002980,C0002890,PL014,PL008,09-08-2024,Offer Migration
PH0002981,C0002890,PL008,PL018,20-10-2024,Upgrade
PH0002982,C0002893,PL003,PL017,15-10-2023,Upgrade
PH0002983,C0002894,PL003,PL012,21-07-2016,Downgrade
PH0002984,C0002894,PL012,PL017,31-10-2017,Upgrade
PH0002985,C0002895,PL020,PL017,23-05-2023,Offer Migration
PH0002986,C0002895,PL017,PL020,04-11-2023,Customer Request
PH0002987,C0002895,PL020,PL013,08-02-2023,Downgrade
PH0002988,C0002896,PL020,PL014,17-06-2015,Upgrade
PH0002989,C0002896,PL014,PL001,25-05-2015,Upgrade
PH0002990,C0002898,PL014,PL025,24-05-2025,Customer Request
PH0002991,C0002900,PL008,PL008,13-11-2017,Offer Migration
PH0002992,C0002906,PL001,PL016,04-02-2019,Customer Request
PH0002993,C0002906,PL016,PL025,08-10-2018,Upgrade
PH0002994,C0002906,PL025,PL024,23-11-2021,Offer Migration
PH0002995,C0002911,PL010,PL001,08-12-2022,Customer Request
PH0002996,C0002911,PL001,PL015,13-11-2023,Upgrade
PH0002997,C0002913,PL004,PL024,17-01-2019,Offer Migration
PH0002998,C0002913,PL024,PL005,22-05-2024,Customer Request
PH0002999,C0002913,PL005,PL009,13-09-2024,Upgrade
PH0003000,C0002915,PL014,PL010,04-11-2024,Downgrade
PH0003001,C0002915,PL010,PL014,29-12-2024,Upgrade
PH0003002,C0002916,PL001,PL021,21-08-2018,Upgrade
PH0003003,C0002918,PL005,PL015,18-02-2023,Upgrade
PH0003004,C0002918,PL015,PL008,25-12-2014,Upgrade
PH0003005,C0002922,PL006,PL004,16-06-2022,Downgrade
PH0003006,C0002922,PL004,PL012,18-05-2019,Offer Migration
PH0003007,C0002925,PL001,PL023,28-01-2026,Downgrade
PH0003008,C0002927,PL022,PL008,06-04-2022,Customer Request
PH0003009,C0002927,PL008,PL005,17-05-2020,Offer Migration
PH0003010,C0002931,PL001,PL025,05-05-2020,Downgrade
PH0003011,C0002931,PL025,PL020,16-03-2020,Downgrade
PH0003012,C0002931,PL020,PL007,07-12-2016,Upgrade
PH0003013,C0002932,PL023,PL019,19-06-2025,Offer Migration
PH0003014,C0002932,PL019,PL013,12-02-2025,Downgrade
PH0003015,C0002932,PL013,PL006,01-04-2025,Customer Request
PH0003016,C0002935,PL021,PL017,15-02-2022,Downgrade
PH0003017,C0002937,PL007,PL023,20-02-2020,Downgrade
PH0003018,C0002938,PL003,PL002,17-11-2024,Customer Request
PH0003019,C0002940,PL013,PL014,17-04-2024,Upgrade
PH0003020,C0002940,PL014,PL007,02-01-2021,Downgrade
PH0003021,C0002943,PL007,PL006,26-05-2024,Downgrade
PH0003022,C0002943,PL006,PL008,05-07-2024,Customer Request
PH0003023,C0002943,PL008,PL005,12-10-2024,Offer Migration
PH0003024,C0002946,PL007,PL011,21-08-2022,Offer Migration
PH0003025,C0002948,PL011,PL011,30-12-2021,Offer Migration
PH0003026,C0002949,PL001,PL019,18-04-2023,Customer Request
PH0003027,C0002949,PL019,PL006,30-05-2021,Customer Request
PH0003028,C0002949,PL006,PL013,11-05-2021,Customer Request
PH0003029,C0002950,PL016,PL011,30-09-2014,Upgrade
PH0003030,C0002951,PL011,PL019,28-03-2020,Upgrade
PH0003031,C0002953,PL015,PL003,08-04-2019,Upgrade
PH0003032,C0002953,PL003,PL011,29-12-2019,Downgrade
PH0003033,C0002953,PL011,PL006,11-11-2015,Downgrade
PH0003034,C0002954,PL001,PL010,12-05-2024,Downgrade
PH0003035,C0002956,PL003,PL011,20-03-2025,Customer Request
PH0003036,C0002956,PL011,PL001,27-11-2025,Upgrade
PH0003037,C0002956,PL001,PL009,27-05-2025,Customer Request
PH0003038,C0002961,PL002,PL010,30-08-2025,Upgrade
PH0003039,C0002962,PL023,PL024,08-08-2018,Downgrade
PH0003040,C0002963,PL019,PL012,25-10-2023,Downgrade
PH0003041,C0002965,PL005,PL022,10-02-2017,Downgrade
PH0003042,C0002965,PL022,PL021,22-10-2021,Upgrade
PH0003043,C0002967,PL011,PL015,01-07-2024,Upgrade
PH0003044,C0002967,PL015,PL010,27-06-2019,Upgrade
PH0003045,C0002968,PL005,PL005,17-09-2024,Offer Migration
PH0003046,C0002971,PL007,PL002,19-06-2025,Customer Request
PH0003047,C0002971,PL002,PL007,07-09-2023,Customer Request
PH0003048,C0002971,PL007,PL007,09-09-2025,Downgrade
PH0003049,C0002972,PL005,PL005,12-08-2019,Customer Request
PH0003050,C0002972,PL005,PL017,27-04-2017,Offer Migration
PH0003051,C0002973,PL005,PL025,12-11-2019,Upgrade
PH0003052,C0002973,PL025,PL015,17-02-2019,Customer Request
PH0003053,C0002975,PL004,PL023,21-02-2024,Downgrade
PH0003054,C0002975,PL023,PL018,15-08-2024,Downgrade
PH0003055,C0002980,PL010,PL017,09-10-2023,Downgrade
PH0003056,C0002980,PL017,PL001,03-10-2024,Upgrade
PH0003057,C0002980,PL001,PL018,13-05-2024,Offer Migration
PH0003058,C0002987,PL003,PL017,29-01-2024,Upgrade
PH0003059,C0002987,PL017,PL005,25-10-2021,Upgrade
PH0003060,C0002988,PL009,PL001,17-10-2022,Customer Request
PH0003061,C0002988,PL001,PL021,02-03-2023,Offer Migration
PH0003062,C0002991,PL009,PL019,17-11-2023,Downgrade
PH0003063,C0002999,PL001,PL011,16-04-2025,Upgrade
PH0003064,C0002999,PL011,PL022,12-05-2024,Upgrade
PH0003065,C0002999,PL022,PL008,22-04-2024,Offer Migration
PH0003066,C0003003,PL004,PL023,29-09-2020,Downgrade
PH0003067,C0003003,PL023,PL001,18-07-2019,Upgrade
PH0003068,C0003003,PL001,PL022,27-01-2022,Offer Migration
PH0003069,C0003004,PL011,PL007,05-11-2019,Customer Request
PH0003070,C0003004,PL007,PL023,14-10-2016,Upgrade
PH0003071,C0003004,PL023,PL002,02-11-2014,Downgrade
PH0003072,C0003008,PL001,PL003,12-11-2022,Offer Migration
PH0003073,C0003008,PL003,PL004,16-04-2024,Upgrade
PH0003074,C0003008,PL004,PL025,26-08-2018,Offer Migration
PH0003075,C0003009,PL004,PL020,04-01-2022,Upgrade
PH0003076,C0003010,PL019,PL007,01-05-2025,Downgrade
PH0003077,C0003010,PL007,PL015,15-04-2025,Customer Request
PH0003078,C0003010,PL015,PL011,13-04-2024,Customer Request
PH0003079,C0003011,PL007,PL009,27-05-2025,Customer Request
PH0003080,C0003013,PL009,PL022,07-09-2023,Customer Request
PH0003081,C0003016,PL024,PL011,07-09-2020,Offer Migration
PH0003082,C0003016,PL011,PL021,11-01-2018,Downgrade
PH0003083,C0003018,PL010,PL025,02-03-2017,Downgrade
PH0003084,C0003018,PL025,PL011,09-11-2019,Offer Migration
PH0003085,C0003018,PL011,PL001,25-01-2019,Customer Request
PH0003086,C0003019,PL015,PL005,26-11-2025,Offer Migration
PH0003087,C0003021,PL024,PL006,25-05-2022,Offer Migration
PH0003088,C0003022,PL009,PL002,29-10-2023,Offer Migration
PH0003089,C0003022,PL002,PL010,15-07-2024,Upgrade
PH0003090,C0003024,PL005,PL019,30-10-2015,Customer Request
PH0003091,C0003026,PL017,PL004,01-06-2017,Customer Request
PH0003092,C0003026,PL004,PL025,09-07-2017,Downgrade
PH0003093,C0003028,PL013,PL007,18-05-2020,Customer Request
PH0003094,C0003028,PL007,PL024,20-01-2021,Downgrade
PH0003095,C0003029,PL002,PL016,19-01-2024,Customer Request
PH0003096,C0003029,PL016,PL005,06-08-2018,Upgrade
PH0003097,C0003031,PL025,PL014,04-07-2018,Downgrade
PH0003098,C0003032,PL010,PL017,09-10-2022,Offer Migration
PH0003099,C0003032,PL017,PL002,06-08-2022,Downgrade
PH0003100,C0003032,PL002,PL014,04-02-2023,Downgrade
PH0003101,C0003033,PL004,PL003,27-03-2020,Offer Migration
PH0003102,C0003035,PL006,PL007,23-08-2018,Customer Request
PH0003103,C0003037,PL019,PL018,03-10-2020,Customer Request
PH0003104,C0003039,PL004,PL008,17-08-2020,Customer Request
PH0003105,C0003039,PL008,PL001,17-09-2020,Downgrade
PH0003106,C0003040,PL001,PL015,16-04-2024,Upgrade
PH0003107,C0003042,PL005,PL014,05-01-2020,Customer Request
PH0003108,C0003044,PL005,PL012,13-08-2020,Customer Request
PH0003109,C0003044,PL012,PL007,21-02-2020,Upgrade
PH0003110,C0003045,PL009,PL003,23-05-2019,Downgrade
PH0003111,C0003045,PL003,PL004,06-02-2023,Customer Request
PH0003112,C0003046,PL005,PL001,20-01-2019,Customer Request
PH0003113,C0003047,PL012,PL014,11-02-2019,Upgrade
PH0003114,C0003048,PL011,PL025,30-12-2020,Offer Migration
PH0003115,C0003049,PL017,PL005,03-03-2021,Downgrade
PH0003116,C0003049,PL005,PL022,28-03-2022,Downgrade
PH0003117,C0003049,PL022,PL023,25-06-2021,Customer Request
PH0003118,C0003051,PL010,PL008,15-04-2020,Upgrade
PH0003119,C0003051,PL008,PL004,01-06-2017,Customer Request
PH0003120,C0003051,PL004,PL015,26-07-2016,Downgrade
PH0003121,C0003054,PL003,PL011,11-09-2022,Customer Request
PH0003122,C0003054,PL011,PL001,20-04-2022,Customer Request
PH0003123,C0003054,PL001,PL009,09-11-2023,Customer Request
PH0003124,C0003059,PL005,PL009,15-05-2018,Upgrade
PH0003125,C0003060,PL009,PL003,28-04-2025,Upgrade
PH0003126,C0003065,PL022,PL002,01-03-2019,Customer Request
PH0003127,C0003065,PL002,PL016,18-02-2015,Offer Migration
PH0003128,C0003065,PL016,PL016,02-06-2020,Customer Request
PH0003129,C0003066,PL011,PL023,13-08-2025,Downgrade
PH0003130,C0003066,PL023,PL004,20-10-2025,Downgrade
PH0003131,C0003066,PL004,PL020,02-09-2025,Downgrade
PH0003132,C0003067,PL012,PL009,01-01-2023,Downgrade
PH0003133,C0003070,PL025,PL020,30-01-2025,Upgrade
PH0003134,C0003071,PL005,PL009,12-11-2020,Downgrade
PH0003135,C0003071,PL009,PL021,01-09-2020,Downgrade
PH0003136,C0003077,PL009,PL025,26-04-2020,Upgrade
PH0003137,C0003077,PL025,PL002,08-08-2022,Upgrade
PH0003138,C0003079,PL009,PL009,09-02-2024,Customer Request
PH0003139,C0003079,PL009,PL001,12-04-2023,Downgrade
PH0003140,C0003079,PL001,PL024,05-12-2020,Downgrade
PH0003141,C0003081,PL010,PL007,21-10-2022,Offer Migration
PH0003142,C0003083,PL018,PL025,27-11-2022,Upgrade
PH0003143,C0003083,PL025,PL018,11-08-2023,Downgrade
PH0003144,C0003083,PL018,PL006,03-05-2020,Customer Request
PH0003145,C0003085,PL003,PL022,05-09-2016,Customer Request
PH0003146,C0003085,PL022,PL022,06-12-2021,Customer Request
PH0003147,C0003086,PL005,PL020,14-02-2018,Downgrade
PH0003148,C0003087,PL003,PL022,30-09-2025,Upgrade
PH0003149,C0003087,PL022,PL011,19-10-2025,Customer Request
PH0003150,C0003088,PL005,PL006,12-09-2024,Downgrade
PH0003151,C0003088,PL006,PL018,07-07-2025,Customer Request
PH0003152,C0003090,PL011,PL002,18-09-2022,Offer Migration
PH0003153,C0003090,PL002,PL018,16-11-2023,Downgrade
PH0003154,C0003091,PL007,PL022,21-06-2021,Customer Request
PH0003155,C0003092,PL018,PL019,21-02-2016,Upgrade
PH0003156,C0003092,PL019,PL025,17-06-2017,Offer Migration
PH0003157,C0003092,PL025,PL013,05-12-2016,Customer Request
PH0003158,C0003093,PL025,PL017,10-09-2024,Offer Migration
PH0003159,C0003093,PL017,PL017,19-08-2024,Customer Request
PH0003160,C0003095,PL003,PL021,13-11-2021,Offer Migration
PH0003161,C0003095,PL021,PL009,18-06-2019,Customer Request
PH0003162,C0003095,PL009,PL005,11-09-2019,Downgrade
PH0003163,C0003096,PL003,PL022,09-01-2024,Offer Migration
PH0003164,C0003096,PL022,PL020,16-04-2024,Offer Migration
PH0003165,C0003097,PL002,PL025,07-07-2017,Downgrade
PH0003166,C0003097,PL025,PL004,09-05-2020,Customer Request
PH0003167,C0003097,PL004,PL003,12-12-2017,Customer Request
PH0003168,C0003098,PL005,PL024,17-05-2021,Downgrade
PH0003169,C0003099,PL023,PL022,01-03-2022,Offer Migration
PH0003170,C0003099,PL022,PL001,15-01-2022,Customer Request
PH0003171,C0003099,PL001,PL023,27-12-2022,Customer Request
PH0003172,C0003102,PL015,PL011,08-02-2019,Customer Request
PH0003173,C0003102,PL011,PL002,15-03-2023,Upgrade
PH0003174,C0003102,PL002,PL011,29-03-2015,Upgrade
PH0003175,C0003103,PL004,PL005,21-04-2019,Customer Request
PH0003176,C0003103,PL005,PL016,01-01-2019,Downgrade
PH0003177,C0003103,PL016,PL008,04-02-2019,Downgrade
PH0003178,C0003105,PL001,PL014,31-03-2020,Offer Migration
PH0003179,C0003106,PL006,PL014,23-11-2023,Upgrade
PH0003180,C0003106,PL014,PL014,01-12-2019,Upgrade
PH0003181,C0003106,PL014,PL004,20-10-2017,Offer Migration
PH0003182,C0003109,PL025,PL015,06-04-2025,Downgrade
PH0003183,C0003110,PL011,PL009,13-08-2025,Customer Request
PH0003184,C0003111,PL010,PL023,05-12-2017,Upgrade
PH0003185,C0003116,PL018,PL001,27-04-2015,Downgrade
PH0003186,C0003116,PL001,PL018,25-07-2018,Customer Request
PH0003187,C0003117,PL012,PL023,17-05-2025,Downgrade
PH0003188,C0003117,PL023,PL008,13-12-2025,Customer Request
PH0003189,C0003117,PL008,PL021,17-09-2025,Upgrade
PH0003190,C0003119,PL003,PL017,20-08-2020,Downgrade
PH0003191,C0003119,PL017,PL008,13-03-2021,Customer Request
PH0003192,C0003119,PL008,PL015,27-01-2025,Upgrade
PH0003193,C0003120,PL022,PL020,15-10-2014,Offer Migration
PH0003194,C0003120,PL020,PL019,21-05-2022,Upgrade
PH0003195,C0003121,PL001,PL020,27-06-2021,Offer Migration
PH0003196,C0003121,PL020,PL014,21-04-2020,Customer Request
PH0003197,C0003121,PL014,PL006,15-11-2021,Downgrade
PH0003198,C0003122,PL007,PL021,11-12-2024,Offer Migration
PH0003199,C0003125,PL019,PL011,26-11-2024,Upgrade
PH0003200,C0003127,PL005,PL007,24-09-2017,Customer Request
PH0003201,C0003129,PL006,PL024,01-02-2017,Customer Request
PH0003202,C0003131,PL003,PL022,02-07-2017,Customer Request
PH0003203,C0003131,PL022,PL014,29-11-2021,Upgrade
PH0003204,C0003131,PL014,PL001,13-11-2016,Downgrade
PH0003205,C0003133,PL011,PL020,03-05-2019,Upgrade
PH0003206,C0003133,PL020,PL018,06-05-2016,Customer Request
PH0003207,C0003133,PL018,PL020,22-08-2020,Upgrade
PH0003208,C0003134,PL001,PL009,02-04-2019,Downgrade
PH0003209,C0003134,PL009,PL019,24-06-2024,Customer Request
PH0003210,C0003140,PL017,PL011,30-06-2021,Customer Request
PH0003211,C0003150,PL007,PL017,27-02-2024,Downgrade
PH0003212,C0003150,PL017,PL004,19-11-2023,Downgrade
PH0003213,C0003152,PL001,PL001,30-06-2023,Upgrade
PH0003214,C0003152,PL001,PL011,10-03-2025,Downgrade
