contract_id,customer_id,plan_id,contract_type,contract_length_months,start_date,end_date,auto_renew,renewal_status
CN002588,C0004664,PL017,Fiber Broadband,36,01-01-2014,16-12-2016,Yes,Active
CN002589,C0004666,PL022,Enterprise,18,24-10-2023,16-04-2025,No,Not Renewed
CN002590,C0004667,PL007,Postpaid Mobile,36,15-05-2017,29-04-2020,Yes,Pending
CN002591,C0004670,PL006,Prepaid Mobile,12,04-12-2016,29-11-2017,Yes,Renewed
CN002592,C0004672,PL006,Prepaid Mobile,12,01-01-2014,27-12-2014,No,Renewed
CN002593,C0004673,PL006,Prepaid Mobile,36,01-01-2014,16-12-2016,Yes,Pending
CN002594,C0004675,PL023,IoT Solutions,36,11-01-2015,26-12-2017,No,Pending
CN002595,C0004676,PL022,Enterprise,24,17-07-2025,07-07-2027,Yes,Cancelled
CN002596,C0004677,PL006,Prepaid Mobile,24,16-10-2015,05-10-2017,Yes,Auto-Renewed
CN002597,C0004678,PL021,Enterprise,24,01-01-2014,22-12-2015,No,Pending
CN002598,C0004680,PL005,Prepaid Mobile,12,15-04-2021,10-04-2022,Yes,Pending
CN002599,C0004681,PL010,Postpaid Mobile,12,01-08-2025,27-07-2026,Yes,Not Renewed
CN002600,C0004682,PL010,Postpaid Mobile,18,01-03-2024,23-08-2025,No,Renewed
CN002601,C0004683,PL016,Fiber Broadband,12,05-02-2026,31-01-2027,No,Active
CN002602,C0004684,PL008,Postpaid Mobile,24,01-02-2017,22-01-2019,No,Auto-Renewed
CN002603,C0004685,PL006,Prepaid Mobile,12,22-07-2025,17-07-2026,Yes,Cancelled
CN002604,C0004686,PL005,Prepaid Mobile,12,01-01-2014,27-12-2014,Yes,Renewed
CN002605,C0004687,PL007,Postpaid Mobile,12,05-03-2022,28-02-2023,Yes,Renewed
CN002606,C0004689,PL022,Enterprise,12,05-07-2016,30-06-2017,No,Renewed
CN002607,C0004690,PL016,Fiber Broadband,12,01-01-2014,27-12-2014,Yes,Active
CN002608,C0004691,PL018,Fiber Broadband,18,23-09-2023,16-03-2025,No,Auto-Renewed
CN002609,C0004694,PL016,Fiber Broadband,36,20-04-2024,05-04-2027,No,Not Renewed
CN002610,C0004695,PL009,Postpaid Mobile,12,07-12-2016,02-12-2017,No,Renewed
CN002611,C0004696,PL021,Enterprise,24,27-12-2017,17-12-2019,Yes,Auto-Renewed
CN002612,C0004698,PL018,Fiber Broadband,12,18-02-2023,13-02-2024,Yes,Pending
CN002613,C0004700,PL006,Prepaid Mobile,36,15-04-2014,30-03-2017,No,Auto-Renewed
CN002614,C0004702,PL008,Postpaid Mobile,12,13-07-2014,08-07-2015,No,Auto-Renewed
CN002615,C0004703,PL006,Prepaid Mobile,24,17-07-2019,06-07-2021,No,Not Renewed
CN002616,C0004705,PL017,Fiber Broadband,12,01-01-2014,27-12-2014,No,Renewed
CN002617,C0004707,PL018,Fiber Broadband,12,22-11-2016,17-11-2017,Yes,Auto-Renewed
CN002618,C0004708,PL005,Prepaid Mobile,18,01-01-2014,25-06-2015,No,Active
CN002619,C0004709,PL017,Fiber Broadband,36,04-05-2025,18-04-2028,No,Not Renewed
CN002620,C0004710,PL006,Prepaid Mobile,24,01-01-2014,22-12-2015,No,Renewed
CN002621,C0004711,PL008,Postpaid Mobile,24,09-01-2021,30-12-2022,Yes,Active
CN002622,C0004713,PL010,Postpaid Mobile,18,24-01-2021,18-07-2022,No,Auto-Renewed
CN002623,C0004715,PL006,Prepaid Mobile,12,01-01-2014,27-12-2014,No,Renewed
CN002624,C0004717,PL018,Fiber Broadband,18,30-01-2017,24-07-2018,No,Active
CN002625,C0004718,PL009,Postpaid Mobile,36,06-09-2022,21-08-2025,No,Auto-Renewed
CN002626,C0004720,PL016,Fiber Broadband,12,14-09-2015,08-09-2016,No,Not Renewed
CN002627,C0004721,PL006,Prepaid Mobile,12,01-01-2014,27-12-2014,No,Auto-Renewed
CN002628,C0004722,PL011,Postpaid Mobile,12,01-01-2014,27-12-2014,Yes,Renewed
CN002629,C0004725,PL005,Prepaid Mobile,24,01-01-2014,22-12-2015,Yes,Renewed
CN002630,C0004727,PL015,Fiber Broadband,24,04-05-2021,24-04-2023,No,Auto-Renewed
CN002631,C0004729,PL022,Enterprise,36,01-01-2014,16-12-2016,No,Active
CN002632,C0004730,PL018,Fiber Broadband,24,26-09-2017,16-09-2019,Yes,Not Renewed
CN002633,C0004732,PL021,Enterprise,12,26-05-2016,21-05-2017,No,Not Renewed
CN002634,C0004733,PL005,Prepaid Mobile,24,06-11-2016,27-10-2018,No,Renewed
CN002635,C0004734,PL015,Fiber Broadband,24,02-03-2014,20-02-2016,Yes,Cancelled
CN002636,C0004735,PL005,Prepaid Mobile,18,07-07-2021,29-12-2022,Yes,Renewed
CN002637,C0004736,PL022,Enterprise,18,13-02-2015,06-08-2016,No,Pending
CN002638,C0004741,PL015,Fiber Broadband,18,15-08-2014,06-02-2016,Yes,Pending
CN002639,C0004745,PL006,Prepaid Mobile,18,28-01-2024,21-07-2025,No,Active
CN002640,C0004747,PL008,Postpaid Mobile,12,14-06-2020,09-06-2021,Yes,Auto-Renewed
CN002641,C0004750,PL018,Fiber Broadband,12,01-01-2014,27-12-2014,No,Not Renewed
CN002642,C0004751,PL016,Fiber Broadband,12,24-03-2017,19-03-2018,Yes,Renewed
CN002643,C0004752,PL007,Postpaid Mobile,24,21-10-2017,11-10-2019,Yes,Renewed
CN002644,C0004754,PL007,Postpaid Mobile,36,24-09-2015,08-09-2018,Yes,Renewed
CN002645,C0004755,PL008,Postpaid Mobile,24,25-09-2018,14-09-2020,No,Active
CN002646,C0004756,PL025,Smart Home,12,26-12-2021,21-12-2022,Yes,Not Renewed
CN002647,C0004757,PL015,Fiber Broadband,18,20-08-2021,11-02-2023,No,Auto-Renewed
CN002648,C0004759,PL016,Fiber Broadband,24,24-03-2014,13-03-2016,Yes,Pending
CN002649,C0004760,PL005,Prepaid Mobile,18,01-01-2014,25-06-2015,No,Auto-Renewed
CN002650,C0004761,PL011,Postpaid Mobile,12,07-07-2019,01-07-2020,Yes,Active
CN002651,C0004766,PL010,Postpaid Mobile,12,16-11-2018,11-11-2019,Yes,Not Renewed
CN002652,C0004771,PL006,Prepaid Mobile,12,04-01-2023,30-12-2023,No,Renewed
CN002653,C0004773,PL009,Postpaid Mobile,12,22-03-2015,16-03-2016,No,Renewed
CN002654,C0004774,PL025,Smart Home,24,12-03-2019,01-03-2021,Yes,Active
CN002655,C0004777,PL008,Postpaid Mobile,24,26-07-2016,16-07-2018,Yes,Pending
CN002656,C0004779,PL005,Prepaid Mobile,18,01-01-2014,25-06-2015,Yes,Renewed
CN002657,C0004780,PL010,Postpaid Mobile,12,02-02-2017,28-01-2018,No,Auto-Renewed
CN002658,C0004781,PL011,Postpaid Mobile,12,28-05-2023,22-05-2024,Yes,Renewed
CN002659,C0004782,PL006,Prepaid Mobile,36,26-02-2014,10-02-2017,No,Auto-Renewed
CN002660,C0004785,PL015,Fiber Broadband,36,30-03-2014,14-03-2017,Yes,Not Renewed
CN002661,C0004786,PL011,Postpaid Mobile,12,01-01-2014,27-12-2014,Yes,Pending
CN002662,C0004789,PL006,Prepaid Mobile,18,01-01-2014,25-06-2015,Yes,Not Renewed
CN002663,C0004795,PL007,Postpaid Mobile,12,24-06-2017,19-06-2018,Yes,Renewed
CN002664,C0004798,PL017,Fiber Broadband,24,01-01-2014,22-12-2015,Yes,Auto-Renewed
CN002665,C0004802,PL006,Prepaid Mobile,24,01-01-2014,22-12-2015,No,Renewed
CN002666,C0004803,PL005,Prepaid Mobile,12,01-01-2014,27-12-2014,No,Renewed
CN002667,C0004804,PL018,Fiber Broadband,12,11-12-2015,05-12-2016,No,Pending
CN002668,C0004806,PL006,Prepaid Mobile,24,01-01-2014,22-12-2015,No,Auto-Renewed
CN002669,C0004809,PL018,Fiber Broadband,12,23-08-2022,18-08-2023,No,Active
CN002670,C0004810,PL016,Fiber Broadband,36,05-11-2020,21-10-2023,No,Renewed
CN002671,C0004811,PL016,Fiber Broadband,12,23-01-2022,18-01-2023,No,Renewed
CN002672,C0004812,PL024,IoT Solutions,12,12-11-2014,07-11-2015,Yes,Active
CN002673,C0004814,PL017,Fiber Broadband,12,01-01-2014,27-12-2014,No,Pending
CN002674,C0004815,PL010,Postpaid Mobile,24,11-04-2023,31-03-2025,Yes,Renewed
CN002675,C0004816,PL008,Postpaid Mobile,12,11-05-2015,05-05-2016,No,Renewed
CN002676,C0004817,PL005,Prepaid Mobile,24,01-01-2014,22-12-2015,No,Renewed
CN002677,C0004818,PL009,Postpaid Mobile,12,21-11-2016,16-11-2017,Yes,Active
CN002678,C0004819,PL023,IoT Solutions,24,12-12-2017,02-12-2019,Yes,Active
CN002679,C0004822,PL006,Prepaid Mobile,36,01-01-2014,16-12-2016,Yes,Active
CN002680,C0004823,PL007,Postpaid Mobile,24,04-01-2016,24-12-2017,Yes,Renewed
CN002681,C0004826,PL022,Enterprise,12,01-01-2014,27-12-2014,No,Renewed
CN002682,C0004828,PL006,Prepaid Mobile,12,01-01-2014,27-12-2014,No,Renewed
CN002683,C0004829,PL018,Fiber Broadband,18,01-01-2014,25-06-2015,No,Auto-Renewed
CN002684,C0004831,PL006,Prepaid Mobile,12,12-07-2014,07-07-2015,Yes,Active
CN002685,C0004835,PL022,Enterprise,12,30-04-2015,24-04-2016,Yes,Auto-Renewed
CN002686,C0004836,PL021,Enterprise,24,01-01-2014,22-12-2015,Yes,Active
CN002687,C0004838,PL009,Postpaid Mobile,12,19-02-2025,14-02-2026,No,Renewed
CN002688,C0004839,PL006,Prepaid Mobile,18,28-04-2023,19-10-2024,Yes,Active
CN002689,C0004840,PL017,Fiber Broadband,36,02-04-2022,17-03-2025,No,Active
CN002690,C0004841,PL022,Enterprise,18,01-01-2014,25-06-2015,Yes,Active
CN002691,C0004843,PL006,Prepaid Mobile,24,01-01-2014,22-12-2015,No,Renewed
CN002692,C0004845,PL006,Prepaid Mobile,12,25-01-2019,20-01-2020,No,Renewed
CN002693,C0004847,PL018,Fiber Broadband,24,01-01-2021,22-12-2022,Yes,Auto-Renewed
CN002694,C0004849,PL007,Postpaid Mobile,12,14-05-2018,09-05-2019,Yes,Auto-Renewed
CN002695,C0004850,PL006,Prepaid Mobile,12,27-10-2024,22-10-2025,Yes,Renewed
CN002696,C0004851,PL006,Prepaid Mobile,24,09-04-2018,29-03-2020,No,Renewed
CN002697,C0004855,PL005,Prepaid Mobile,12,01-01-2014,27-12-2014,Yes,Auto-Renewed
CN002698,C0004856,PL011,Postpaid Mobile,12,18-07-2025,13-07-2026,Yes,Auto-Renewed
CN002699,C0004858,PL005,Prepaid Mobile,24,01-01-2014,22-12-2015,Yes,Renewed
CN002700,C0004860,PL009,Postpaid Mobile,12,17-08-2019,11-08-2020,No,Active
CN002701,C0004861,PL005,Prepaid Mobile,36,01-01-2014,16-12-2016,Yes,Renewed
CN002702,C0004862,PL006,Prepaid Mobile,12,01-01-2014,27-12-2014,No,Auto-Renewed
CN002703,C0004864,PL009,Postpaid Mobile,24,21-08-2025,11-08-2027,Yes,Cancelled
CN002704,C0004865,PL018,Fiber Broadband,12,01-01-2014,27-12-2014,Yes,Active
CN002705,C0004866,PL006,Prepaid Mobile,12,11-03-2016,06-03-2017,No,Active
CN002706,C0004867,PL017,Fiber Broadband,12,01-01-2014,27-12-2014,Yes,Not Renewed
CN002707,C0004869,PL011,Postpaid Mobile,36,01-01-2014,16-12-2016,Yes,Renewed
CN002708,C0004871,PL009,Postpaid Mobile,12,03-07-2024,28-06-2025,Yes,Not Renewed
CN002709,C0004872,PL005,Prepaid Mobile,12,17-09-2015,11-09-2016,No,Auto-Renewed
CN002710,C0004874,PL009,Postpaid Mobile,18,10-11-2024,04-05-2026,Yes,Renewed
CN002711,C0004875,PL016,Fiber Broadband,12,16-03-2025,11-03-2026,No,Renewed
CN002712,C0004878,PL006,Prepaid Mobile,18,01-01-2014,25-06-2015,No,Auto-Renewed
CN002713,C0004879,PL005,Prepaid Mobile,12,01-01-2014,27-12-2014,Yes,Auto-Renewed
CN002714,C0004880,PL010,Postpaid Mobile,18,02-05-2021,24-10-2022,Yes,Auto-Renewed
CN002715,C0004881,PL011,Postpaid Mobile,12,21-12-2014,16-12-2015,Yes,Auto-Renewed
CN002716,C0004882,PL024,IoT Solutions,24,10-03-2019,27-02-2021,No,Renewed
CN002717,C0004884,PL006,Prepaid Mobile,18,01-01-2014,25-06-2015,Yes,Pending
CN002718,C0004885,PL009,Postpaid Mobile,12,17-09-2021,12-09-2022,No,Active
CN002719,C0004886,PL007,Postpaid Mobile,12,18-02-2015,13-02-2016,Yes,Renewed
CN002720,C0004887,PL010,Postpaid Mobile,36,21-10-2023,05-10-2026,Yes,Active
CN002721,C0004891,PL021,Enterprise,18,05-01-2014,29-06-2015,Yes,Active
CN002722,C0004893,PL010,Postpaid Mobile,12,22-10-2024,17-10-2025,Yes,Auto-Renewed
CN002723,C0004896,PL015,Fiber Broadband,24,16-06-2019,05-06-2021,Yes,Renewed
CN002724,C0004897,PL022,Enterprise,24,01-01-2014,22-12-2015,Yes,Cancelled
CN002725,C0004898,PL006,Prepaid Mobile,12,27-01-2016,21-01-2017,No,Pending
CN002726,C0004900,PL009,Postpaid Mobile,12,04-03-2024,27-02-2025,No,Pending
CN002727,C0004901,PL005,Prepaid Mobile,36,01-04-2022,16-03-2025,Yes,Renewed
CN002728,C0004902,PL018,Fiber Broadband,24,27-09-2014,16-09-2016,No,Active
CN002729,C0004909,PL006,Prepaid Mobile,12,21-10-2020,16-10-2021,Yes,Renewed
CN002730,C0004910,PL011,Postpaid Mobile,36,25-09-2018,09-09-2021,No,Pending
CN002731,C0004914,PL025,Smart Home,12,10-11-2024,05-11-2025,No,Auto-Renewed
CN002732,C0004915,PL006,Prepaid Mobile,36,11-05-2016,26-04-2019,No,Pending
CN002733,C0004916,PL005,Prepaid Mobile,12,01-01-2014,27-12-2014,No,Auto-Renewed
CN002734,C0004918,PL005,Prepaid Mobile,12,27-09-2016,22-09-2017,Yes,Renewed
CN002735,C0004919,PL025,Smart Home,12,15-05-2017,10-05-2018,Yes,Cancelled
CN002736,C0004923,PL005,Prepaid Mobile,12,28-05-2024,23-05-2025,Yes,Auto-Renewed
CN002737,C0004924,PL015,Fiber Broadband,24,23-02-2023,12-02-2025,No,Active
CN002738,C0004928,PL005,Prepaid Mobile,24,02-02-2020,22-01-2022,No,Active
CN002739,C0004935,PL005,Prepaid Mobile,36,01-01-2014,16-12-2016,Yes,Renewed
CN002740,C0004937,PL007,Postpaid Mobile,36,12-02-2020,27-01-2023,Yes,Renewed
CN002741,C0004939,PL016,Fiber Broadband,12,20-09-2023,14-09-2024,Yes,Cancelled
CN002742,C0004942,PL024,IoT Solutions,12,09-04-2019,03-04-2020,Yes,Renewed
CN002743,C0004943,PL016,Fiber Broadband,12,01-01-2014,27-12-2014,Yes,Renewed
CN002744,C0004946,PL008,Postpaid Mobile,36,14-06-2018,29-05-2021,No,Renewed
CN002745,C0004947,PL022,Enterprise,24,01-01-2014,22-12-2015,Yes,Active
CN002746,C0004949,PL009,Postpaid Mobile,12,21-06-2021,16-06-2022,Yes,Renewed
CN002747,C0004952,PL006,Prepaid Mobile,12,10-06-2023,04-06-2024,No,Renewed
CN002748,C0004953,PL011,Postpaid Mobile,18,03-11-2022,26-04-2024,No,Renewed
CN002749,C0004955,PL006,Prepaid Mobile,12,01-01-2014,27-12-2014,No,Auto-Renewed
CN002750,C0004961,PL021,Enterprise,12,25-12-2025,20-12-2026,Yes,Not Renewed
CN002751,C0004962,PL017,Fiber Broadband,24,17-11-2015,06-11-2017,No,Auto-Renewed
CN002752,C0004963,PL006,Prepaid Mobile,12,24-06-2023,18-06-2024,No,Renewed
CN002753,C0004964,PL011,Postpaid Mobile,24,01-01-2014,22-12-2015,Yes,Active
CN002754,C0004966,PL010,Postpaid Mobile,24,20-12-2014,09-12-2016,No,Not Renewed
CN002755,C0004967,PL016,Fiber Broadband,24,13-06-2019,02-06-2021,No,Cancelled
CN002756,C0004968,PL008,Postpaid Mobile,18,13-11-2015,06-05-2017,No,Active
CN002757,C0004969,PL005,Prepaid Mobile,12,09-05-2018,04-05-2019,Yes,Pending
CN002758,C0004970,PL022,Enterprise,12,01-01-2014,27-12-2014,Yes,Renewed
CN002759,C0004972,PL007,Postpaid Mobile,12,17-05-2021,12-05-2022,No,Not Renewed
CN002760,C0004973,PL017,Fiber Broadband,36,01-01-2014,16-12-2016,No,Auto-Renewed
CN002761,C0004974,PL018,Fiber Broadband,12,17-04-2021,12-04-2022,No,Renewed
CN002762,C0004975,PL021,Enterprise,24,07-10-2018,26-09-2020,No,Renewed
CN002763,C0004976,PL016,Fiber Broadband,12,01-01-2014,27-12-2014,Yes,Active
CN002764,C0004981,PL024,IoT Solutions,18,06-07-2025,28-12-2026,No,Renewed
CN002765,C0004982,PL005,Prepaid Mobile,12,01-01-2014,27-12-2014,Yes,Renewed
CN002766,C0004983,PL007,Postpaid Mobile,24,15-11-2016,05-11-2018,Yes,Renewed
CN002767,C0004985,PL007,Postpaid Mobile,36,27-10-2015,11-10-2018,Yes,Renewed
CN002768,C0004988,PL015,Fiber Broadband,12,27-12-2015,21-12-2016,Yes,Auto-Renewed
CN002769,C0004989,PL022,Enterprise,36,03-09-2022,18-08-2025,No,Renewed
CN002770,C0004990,PL007,Postpaid Mobile,24,30-12-2015,19-12-2017,No,Renewed
CN002771,C0004991,PL022,Enterprise,24,08-08-2023,28-07-2025,Yes,Not Renewed
CN002772,C0004992,PL011,Postpaid Mobile,24,28-11-2018,17-11-2020,Yes,Auto-Renewed
CN002773,C0004995,PL006,Prepaid Mobile,24,01-01-2014,22-12-2015,Yes,Cancelled
CN002774,C0004999,PL006,Prepaid Mobile,24,01-01-2014,22-12-2015,Yes,Active
CN002775,C0005000,PL008,Postpaid Mobile,12,05-01-2019,31-12-2019,Yes,Auto-Renewed
CN002776,C0005002,PL008,Postpaid Mobile,24,01-10-2024,21-09-2026,Yes,Auto-Renewed
CN002777,C0005005,PL007,Postpaid Mobile,12,04-10-2014,29-09-2015,Yes,Renewed
CN002778,C0005009,PL005,Prepaid Mobile,12,01-01-2014,27-12-2014,Yes,Renewed
CN002779,C0005010,PL008,Postpaid Mobile,18,16-08-2022,07-02-2024,Yes,Active
CN002780,C0005012,PL009,Postpaid Mobile,24,18-04-2024,08-04-2026,Yes,Not Renewed
CN002781,C0005013,PL025,Smart Home,24,28-06-2017,18-06-2019,No,Renewed
CN002782,C0005017,PL021,Enterprise,24,01-01-2014,22-12-2015,Yes,Renewed
CN002783,C0005020,PL018,Fiber Broadband,36,17-01-2020,01-01-2023,No,Auto-Renewed
CN002784,C0005023,PL011,Postpaid Mobile,24,01-01-2021,22-12-2022,Yes,Auto-Renewed
CN002785,C0005024,PL010,Postpaid Mobile,12,18-03-2019,12-03-2020,Yes,Active
CN002786,C0005025,PL022,Enterprise,12,01-01-2014,27-12-2014,Yes,Pending
CN002787,C0005031,PL006,Prepaid Mobile,24,29-06-2022,18-06-2024,Yes,Auto-Renewed
CN002788,C0005032,PL005,Prepaid Mobile,24,18-08-2014,07-08-2016,No,Renewed
CN002789,C0005033,PL005,Prepaid Mobile,18,19-07-2020,10-01-2022,Yes,Cancelled
CN002790,C0005034,PL006,Prepaid Mobile,24,25-12-2025,15-12-2027,Yes,Renewed
CN002791,C0005036,PL017,Fiber Broadband,12,01-01-2014,27-12-2014,No,Renewed
CN002792,C0005038,PL018,Fiber Broadband,18,14-07-2015,04-01-2017,No,Auto-Renewed
CN002793,C0005040,PL005,Prepaid Mobile,12,01-01-2014,27-12-2014,No,Renewed
CN002794,C0005041,PL007,Postpaid Mobile,12,20-11-2024,15-11-2025,Yes,Pending
CN002795,C0005042,PL011,Postpaid Mobile,18,01-01-2014,25-06-2015,No,Renewed
CN002796,C0005044,PL021,Enterprise,12,01-01-2014,27-12-2014,Yes,Renewed
CN002797,C0005048,PL008,Postpaid Mobile,24,25-05-2017,15-05-2019,No,Pending
CN002798,C0005051,PL017,Fiber Broadband,18,01-01-2014,25-06-2015,No,Active
CN002799,C0005057,PL010,Postpaid Mobile,24,20-09-2023,09-09-2025,No,Not Renewed
CN002800,C0005058,PL006,Prepaid Mobile,12,01-01-2014,27-12-2014,No,Active
CN002801,C0005059,PL015,Fiber Broadband,12,01-01-2014,27-12-2014,No,Cancelled
CN002802,C0005060,PL011,Postpaid Mobile,24,07-01-2016,27-12-2017,Yes,Active
CN002803,C0005065,PL006,Prepaid Mobile,36,01-01-2014,16-12-2016,No,Auto-Renewed
CN002804,C0005066,PL018,Fiber Broadband,36,27-11-2020,12-11-2023,Yes,Renewed
CN002805,C0005067,PL017,Fiber Broadband,36,01-01-2014,16-12-2016,Yes,Auto-Renewed
CN002806,C0005070,PL011,Postpaid Mobile,36,22-09-2014,06-09-2017,No,Renewed
CN002807,C0005071,PL010,Postpaid Mobile,24,12-12-2023,01-12-2025,No,Cancelled
CN002808,C0005072,PL006,Prepaid Mobile,12,01-01-2014,27-12-2014,Yes,Auto-Renewed
CN002809,C0005074,PL025,Smart Home,12,11-02-2025,06-02-2026,No,Pending
CN002810,C0005075,PL022,Enterprise,12,16-09-2020,11-09-2021,No,Auto-Renewed
CN002811,C0005076,PL008,Postpaid Mobile,24,10-03-2025,28-02-2027,Yes,Not Renewed
CN002812,C0005078,PL005,Prepaid Mobile,24,01-01-2014,22-12-2015,No,Active
CN002813,C0005079,PL005,Prepaid Mobile,24,01-01-2014,22-12-2015,No,Renewed
CN002814,C0005081,PL007,Postpaid Mobile,36,07-09-2020,23-08-2023,No,Renewed
CN002815,C0005082,PL018,Fiber Broadband,24,28-12-2016,18-12-2018,Yes,Renewed
CN002816,C0005083,PL017,Fiber Broadband,12,26-07-2025,21-07-2026,No,Renewed
CN002817,C0005089,PL005,Prepaid Mobile,12,01-01-2014,27-12-2014,Yes,Not Renewed
CN002818,C0005090,PL009,Postpaid Mobile,18,31-10-2021,24-04-2023,Yes,Auto-Renewed
CN002819,C0005091,PL007,Postpaid Mobile,18,11-08-2015,01-02-2017,Yes,Renewed
CN002820,C0005092,PL009,Postpaid Mobile,12,22-11-2018,17-11-2019,Yes,Pending
CN002821,C0005093,PL007,Postpaid Mobile,24,24-04-2018,13-04-2020,Yes,Pending
CN002822,C0005094,PL023,IoT Solutions,12,07-12-2024,02-12-2025,Yes,Active
CN002823,C0005095,PL015,Fiber Broadband,24,19-12-2024,09-12-2026,No,Renewed
CN002824,C0005097,PL021,Enterprise,36,13-06-2018,28-05-2021,Yes,Renewed
CN002825,C0005100,PL016,Fiber Broadband,18,30-07-2025,21-01-2027,No,Active
CN002826,C0005102,PL005,Prepaid Mobile,12,01-01-2014,27-12-2014,Yes,Renewed
CN002827,C0005103,PL025,Smart Home,12,05-06-2025,31-05-2026,No,Not Renewed
CN002828,C0005104,PL010,Postpaid Mobile,36,22-05-2019,06-05-2022,No,Auto-Renewed
CN002829,C0005105,PL025,Smart Home,36,16-07-2016,01-07-2019,Yes,Not Renewed
CN002830,C0005106,PL008,Postpaid Mobile,12,04-10-2023,28-09-2024,Yes,Pending
CN002831,C0005108,PL016,Fiber Broadband,12,26-06-2023,20-06-2024,Yes,Not Renewed
CN002832,C0005109,PL005,Prepaid Mobile,24,22-08-2023,11-08-2025,Yes,Cancelled
CN002833,C0005110,PL025,Smart Home,12,04-10-2021,29-09-2022,No,Pending
CN002834,C0005114,PL008,Postpaid Mobile,12,04-10-2019,28-09-2020,Yes,Pending
CN002835,C0005115,PL005,Prepaid Mobile,12,20-03-2023,14-03-2024,No,Not Renewed
CN002836,C0005116,PL017,Fiber Broadband,24,17-12-2019,06-12-2021,Yes,Renewed
CN002837,C0005118,PL005,Prepaid Mobile,24,04-04-2018,24-03-2020,Yes,Not Renewed
CN002838,C0005119,PL021,Enterprise,24,19-12-2024,09-12-2026,Yes,Active
CN002839,C0005120,PL006,Prepaid Mobile,12,01-01-2014,27-12-2014,Yes,Pending
CN002840,C0005122,PL022,Enterprise,12,27-10-2023,21-10-2024,Yes,Pending
CN002841,C0005123,PL015,Fiber Broadband,12,01-01-2014,27-12-2014,No,Renewed
CN002842,C0005124,PL021,Enterprise,12,18-12-2024,13-12-2025,No,Renewed
CN002843,C0005125,PL005,Prepaid Mobile,18,15-04-2020,07-10-2021,Yes,Renewed
CN002844,C0005126,PL005,Prepaid Mobile,24,01-01-2014,22-12-2015,No,Auto-Renewed
CN002845,C0005127,PL005,Prepaid Mobile,18,31-01-2016,24-07-2017,No,Renewed
CN002846,C0005129,PL005,Prepaid Mobile,24,01-01-2014,22-12-2015,Yes,Auto-Renewed
CN002847,C0005130,PL006,Prepaid Mobile,24,01-01-2014,22-12-2015,Yes,Renewed
CN002848,C0005133,PL009,Postpaid Mobile,24,06-08-2014,26-07-2016,No,Active
CN002849,C0005134,PL021,Enterprise,24,01-01-2014,22-12-2015,No,Active
CN002850,C0005135,PL022,Enterprise,12,01-01-2014,27-12-2014,No,Auto-Renewed
CN002851,C0005138,PL011,Postpaid Mobile,24,01-01-2014,22-12-2015,Yes,Auto-Renewed
CN002852,C0005140,PL006,Prepaid Mobile,18,18-04-2018,10-10-2019,Yes,Renewed
CN002853,C0005142,PL009,Postpaid Mobile,18,14-10-2015,06-04-2017,No,Renewed
CN002854,C0005143,PL006,Prepaid Mobile,12,01-01-2014,27-12-2014,Yes,Renewed
CN002855,C0005144,PL025,Smart Home,12,23-05-2019,17-05-2020,Yes,Auto-Renewed
CN002856,C0005149,PL005,Prepaid Mobile,24,21-12-2018,10-12-2020,Yes,Renewed
CN002857,C0005151,PL011,Postpaid Mobile,12,01-01-2020,26-12-2020,No,Renewed
CN002858,C0005152,PL005,Prepaid Mobile,24,12-10-2017,02-10-2019,Yes,Auto-Renewed
CN002859,C0005153,PL022,Enterprise,12,29-06-2015,23-06-2016,Yes,Active
CN002860,C0005155,PL011,Postpaid Mobile,12,01-01-2014,27-12-2014,Yes,Renewed
CN002861,C0005158,PL005,Prepaid Mobile,24,03-02-2023,23-01-2025,Yes,Auto-Renewed
CN002862,C0005162,PL015,Fiber Broadband,24,06-03-2024,24-02-2026,Yes,Not Renewed
CN002863,C0005164,PL016,Fiber Broadband,12,11-12-2017,06-12-2018,No,Active
CN002864,C0005165,PL006,Prepaid Mobile,12,01-01-2014,27-12-2014,Yes,Renewed
CN002865,C0005167,PL006,Prepaid Mobile,12,01-01-2014,27-12-2014,No,Renewed
CN002866,C0005168,PL005,Prepaid Mobile,24,19-12-2025,09-12-2027,No,Renewed
CN002867,C0005170,PL005,Prepaid Mobile,12,01-01-2014,27-12-2014,Yes,Renewed
CN002868,C0005172,PL006,Prepaid Mobile,12,02-04-2019,27-03-2020,Yes,Renewed
CN002869,C0005173,PL006,Prepaid Mobile,12,13-06-2018,08-06-2019,Yes,Renewed
CN002870,C0005174,PL018,Fiber Broadband,36,01-01-2014,16-12-2016,Yes,Auto-Renewed
CN002871,C0005175,PL018,Fiber Broadband,18,24-01-2021,18-07-2022,Yes,Renewed
CN002872,C0005177,PL009,Postpaid Mobile,24,16-03-2019,05-03-2021,Yes,Cancelled
CN002873,C0005178,PL009,Postpaid Mobile,12,11-11-2017,06-11-2018,Yes,Renewed
CN002874,C0005179,PL021,Enterprise,36,30-04-2015,14-04-2018,No,Renewed
CN002875,C0005180,PL023,IoT Solutions,12,05-10-2023,29-09-2024,Yes,Auto-Renewed
CN002876,C0005181,PL017,Fiber Broadband,12,01-03-2022,24-02-2023,Yes,Auto-Renewed
CN002877,C0005182,PL006,Prepaid Mobile,12,01-01-2014,27-12-2014,Yes,Renewed
CN002878,C0005183,PL009,Postpaid Mobile,24,20-02-2024,09-02-2026,No,Cancelled
